transaction_item_id,transaction_id,product_id,quantity,unit_price,line_total
TI00000396,T0000134,P000007,3,44.35,133.05
TI00000397,T0000134,P000015,4,49.37,197.48
TI00000398,T0000135,P000012,2,42.38,84.76
TI00000399,T0000135,P000002,2,56.39,112.78
TI00000400,T0000135,P000005,3,49.07,147.21
TI00000401,T0000135,P000003,2,10.3,20.6
TI00000402,T0000136,P000018,2,32.67,65.34
TI00000403,T0000137,P000006,3,9.16,27.48
TI00000404,T0000137,P000014,3,24.75,74.25
TI00000405,T0000137,P000018,1,32.67,32.67
TI00000406,T0000137,P000009,2,33.09,66.18
TI00000407,T0000138,P000009,4,33.09,132.36
TI00000408,T0000138,P000015,1,49.37,49.37
TI00000409,T0000138,P000005,3,49.07,147.21
TI00000410,T0000139,P000011,1,19.19,19.19
TI00000411,T0000139,P000020,2,58.91,117.82
TI00000412,T0000139,P000018,1,32.67,32.67
TI00000413,T0000140,P000010,4,43.23,172.92
TI00000414,T0000140,P000003,3,10.3,30.9
TI00000415,T0000140,P000001,2,27.25,54.5
TI00000416,T0000140,P000007,1,44.35,44.35
TI00000417,T0000141,P000002,3,56.39,169.17
TI00000418,T0000141,P000017,4,43.77,175.08
TI00000419,T0000141,P000020,4,58.91,235.64
TI00000420,T0000141,P000011,4,19.19,76.76
TI00000421,T0000142,P000001,4,27.25,109.0
TI00000422,T0000142,P000012,4,42.38,169.52
TI00000423,T0000143,P000014,1,24.75,24.75
TI00000424,T0000143,P000015,1,49.37,49.37
TI00000425,T0000143,P000018,3,32.67,98.01
TI00000426,T0000143,P000020,4,58.91,235.64
TI00000427,T0000143,P000009,2,33.09,66.18
TI00000428,T0000144,P000020,3,58.91,176.73
TI00000429,T0000144,P000003,1,10.3,10.3
TI00000430,T0000144,P000017,2,43.77,87.54
TI00000431,T0000145,P000016,1,49.09,49.09
TI00000432,T0000146,P000020,3,58.91,176.73
TI00000433,T0000146,P000006,1,9.16,9.16
TI00000434,T0000146,P000016,4,49.09,196.36
TI00000435,T0000146,P000018,3,32.67,98.01
TI00000436,T0000146,P000017,2,43.77,87.54
TI00000437,T0000147,P000012,1,42.38,42.38
TI00000438,T0000147,P000011,1,19.19,19.19
TI00000439,T0000147,P000016,3,49.09,147.27
TI00000440,T0000147,P000010,3,43.23,129.69
TI00000441,T0000148,P000014,3,24.75,74.25
TI00000442,T0000149,P000019,2,32.28,64.56
TI00000443,T0000149,P000017,1,43.77,43.77
TI00000444,T0000149,P000018,2,32.67,65.34
TI00000445,T0000150,P000011,2,19.19,38.38
TI00000446,T0000150,P000012,4,42.38,169.52
TI00000447,T0000150,P000013,1,13.19,13.19
TI00000448,T0000150,P000005,3,49.07,147.21
TI00000449,T0000151,P000008,4,52.62,210.48
TI00000450,T0000151,P000010,2,43.23,86.46
TI00000451,T0000151,P000013,2,13.19,26.38
TI00000452,T0000152,P000004,1,39.36,39.36
TI00000453,T0000152,P000014,1,24.75,24.75
TI00000454,T0000152,P000010,3,43.23,129.69
TI00000455,T0000153,P000020,2,58.91,117.82
TI00000456,T0000153,P000009,3,33.09,99.27
TI00000457,T0000153,P000005,3,49.07,147.21
TI00000458,T0000153,P000007,1,44.35,44.35
TI00000459,T0000154,P000004,3,39.36,118.08
TI00000460,T0000154,P000019,3,32.28,96.84
TI00000461,T0000154,P000003,2,10.3,20.6
TI00000462,T0000154,P000009,2,33.09,66.18
TI00000463,T0000154,P000011,4,19.19,76.76
TI00000464,T0000155,P000017,4,43.77,175.08
TI00000465,T0000155,P000015,1,49.37,49.37
TI00000466,T0000155,P000005,3,49.07,147.21
TI00000467,T0000155,P000002,2,56.39,112.78
TI00000468,T0000155,P000009,4,33.09,132.36
TI00000469,T0000156,P000008,3,52.62,157.86
TI00000470,T0000156,P000010,2,43.23,86.46
TI00000471,T0000157,P000001,1,27.25,27.25
TI00000472,T0000157,P000009,2,33.09,66.18
TI00000473,T0000157,P000016,3,49.09,147.27
TI00000474,T0000157,P000007,2,44.35,88.7
TI00000475,T0000157,P000014,1,24.75,24.75
TI00000476,T0000158,P000017,1,43.77,43.77
TI00000477,T0000158,P000001,2,27.25,54.5
TI00000478,T0000158,P000010,4,43.23,172.92
TI00000479,T0000158,P000015,4,49.37,197.48
TI00000480,T0000158,P000012,1,42.38,42.38
TI00000481,T0000159,P000004,2,39.36,78.72
TI00000482,T0000159,P000019,4,32.28,129.12
TI00000483,T0000160,P000009,1,33.09,33.09
TI00000484,T0000160,P000007,3,44.35,133.05
TI00000485,T0000160,P000002,2,56.39,112.78
TI00000486,T0000161,P000020,1,58.91,58.91
TI00000487,T0000161,P000012,1,42.38,42.38
TI00000488,T0000161,P000003,2,10.3,20.6
TI00000489,T0000162,P000005,1,49.07,49.07
TI00000490,T0000163,P000012,4,42.38,169.52
TI00000491,T0000163,P000011,2,19.19,38.38
TI00000492,T0000163,P000019,4,32.28,129.12
TI00000493,T0000163,P000006,4,9.16,36.64
TI00000494,T0000164,P000001,1,27.25,27.25
TI00000495,T0000164,P000005,4,49.07,196.28
TI00000496,T0000165,P000001,2,27.25,54.5
TI00000497,T0000165,P000019,1,32.28,32.28
TI00000498,T0000166,P000016,4,49.09,196.36
TI00000499,T0000166,P000005,1,49.07,49.07
TI00000500,T0000166,P000019,4,32.28,129.12
TI00000501,T0000166,P000007,4,44.35,177.4
TI00000502,T0000166,P000001,3,27.25,81.75
TI00000503,T0000167,P000014,2,24.75,49.5
TI00000504,T0000168,P000016,1,49.09,49.09
TI00000505,T0000168,P000014,3,24.75,74.25
TI00000506,T0000169,P000018,3,32.67,98.01
TI00000507,T0000169,P000011,4,19.19,76.76
TI00000508,T0000169,P000017,3,43.77,131.31
TI00000509,T0000169,P000007,1,44.35,44.35
TI00000510,T0000169,P000019,3,32.28,96.84
TI00000511,T0000170,P000020,1,58.91,58.91
TI00000512,T0000170,P000005,4,49.07,196.28
TI00000513,T0000170,P000007,1,44.35,44.35
TI00000514,T0000170,P000003,4,10.3,41.2
TI00000515,T0000171,P000016,2,49.09,98.18
TI00000516,T0000171,P000019,1,32.28,32.28
TI00000517,T0000172,P000018,4,32.67,130.68
TI00000518,T0000172,P000001,2,27.25,54.5
TI00000519,T0000172,P000014,1,24.75,24.75
TI00000520,T0000172,P000006,1,9.16,9.16
TI00000521,T0000173,P000012,3,42.38,127.14
TI00000522,T0000173,P000019,3,32.28,96.84
TI00000523,T0000173,P000007,1,44.35,44.35
TI00000524,T0000173,P000005,2,49.07,98.14
TI00000525,T0000174,P000013,4,13.19,52.76
TI00000526,T0000174,P000008,1,52.62,52.62
TI00000527,T0000175,P000019,1,32.28,32.28
TI00000528,T0000175,P000016,2,49.09,98.18
TI00000529,T0000176,P000016,2,49.09,98.18
TI00000530,T0000176,P000014,4,24.75,99.0
TI00000531,T0000176,P000015,3,49.37,148.11
TI00000532,T0000176,P000020,2,58.91,117.82
TI00000533,T0000177,P000006,2,9.16,18.32
TI00000534,T0000177,P000016,2,49.09,98.18
TI00000535,T0000177,P000011,1,19.19,19.19
TI00000536,T0000178,P000017,1,43.77,43.77
TI00000537,T0000178,P000008,3,52.62,157.86
TI00000538,T0000178,P000019,2,32.28,64.56
TI00000539,T0000178,P000003,2,10.3,20.6
TI00000540,T0000179,P000016,4,49.09,196.36
TI00000541,T0000180,P000017,3,43.77,131.31
TI00000542,T0000180,P000020,2,58.91,117.82
TI00000543,T0000180,P000006,1,9.16,9.16
TI00000544,T0000181,P000017,2,43.77,87.54
TI00000545,T0000181,P000002,2,56.39,112.78
TI00000546,T0000181,P000015,3,49.37,148.11
TI00000547,T0000182,P000005,1,49.07,49.07
TI00000548,T0000182,P000013,4,13.19,52.76
TI00000549,T0000182,P000011,4,19.19,76.76
TI00000550,T0000182,P000001,4,27.25,109.0
TI00000551,T0000182,P000020,2,58.91,117.82
TI00000552,T0000183,P000001,4,27.25,109.0
TI00000553,T0000184,P000009,4,33.09,132.36
TI00000554,T0000184,P000007,4,44.35,177.4
TI00000555,T0000185,P000019,1,32.28,32.28
TI00000556,T0000185,P000002,4,56.39,225.56
TI00000557,T0000185,P000020,4,58.91,235.64
