loyalty_id,customer_id,loyalty_tier,points_balance,enrollment_date,account_status
L000107,C001863,Platinum,9936,2023-05-14,Inactive
L000108,C007851,Bronze,6051,2026-07-03,Active
L000109,C009124,Gold,7016,2026-06-08,Active
L000110,C002341,Silver,8477,2026-05-04,Active
L000111,C005528,Bronze,5353,2023-09-23,Active
L000112,C006744,Platinum,4714,2026-02-02,Active
L000113,C004004,Silver,2930,2026-02-08,Active
L000114,C001124,Bronze,3759,2026-06-03,Active
L000115,C008710,Silver,1032,2025-10-30,Inactive
L000116,C004050,Gold,4006,2026-04-20,Inactive
L000117,C007641,Silver,3829,2024-12-24,Active
L000118,C000766,Bronze,1174,2026-06-28,Inactive
L000119,C002345,Platinum,2626,2024-10-31,Inactive
L000120,C004072,Platinum,7214,2024-10-14,Inactive
L000121,C007217,Silver,324,2026-06-30,Active
L000122,C004217,Bronze,2172,2026-01-14,Active
L000123,C007953,Silver,3786,2026-03-07,Active
L000124,C005971,Platinum,2822,2026-01-23,Active
L000125,C003351,Platinum,9441,2025-05-26,Inactive
L000126,C004696,Silver,4074,2026-02-02,Active
L000127,C003400,Platinum,453,2024-01-25,Active
L000128,C004082,Bronze,4328,2024-03-05,Active
L000129,C009150,Bronze,4441,2024-09-04,Active
L000130,C001225,Platinum,622,2022-03-22,Active
L000131,C006293,Gold,8319,2026-01-27,Active
L000132,C003123,Silver,131,2026-03-26,Inactive
L000133,C000511,Platinum,1382,2025-05-01,Inactive
L000134,C005795,Bronze,2053,2025-09-25,Active
L000135,C008182,Silver,795,2026-06-10,Active
L000136,C009418,Bronze,1123,2025-10-01,Active
L000137,C000097,Platinum,9614,2024-07-26,Active
L000138,C006682,Bronze,2543,2024-09-02,Inactive
L000139,C001513,Gold,3453,2026-02-20,Active
L000140,C008792,Silver,8835,2026-01-20,Active
L000141,C000120,Gold,2913,2025-10-06,Inactive
L000142,C007792,Gold,4074,2026-05-28,Active
L000143,C006518,Bronze,3208,2025-12-14,Active
L000144,C000034,Bronze,1783,2025-06-11,Active
L000145,C007888,Gold,7873,2025-06-19,Inactive
L000146,C006831,Platinum,1299,2022-10-28,Active
L000147,C005422,Gold,2129,2025-09-01,Active
L000148,C001069,Platinum,8263,2026-01-01,Inactive
L000149,C001348,Bronze,5155,2026-06-08,Active
L000150,C004748,Silver,7530,2025-05-26,Active
L000151,C006006,Silver,5315,2023-06-06,Active
L000152,C006040,Gold,9095,2026-06-27,Active
L000153,C003818,Bronze,9467,2024-10-01,Active
L000154,C008447,Platinum,6704,2025-09-14,Active
L000155,C005270,Bronze,6416,2026-03-26,Active
L000156,C006898,Platinum,6862,2025-03-25,Active
L000157,C005310,Bronze,6737,2025-12-27,Active
L000158,C000032,Gold,3175,2025-07-06,Active
L000159,C005675,Gold,7961,2023-05-15,Inactive
L000160,C004387,Silver,4885,2023-03-18,Active
L000161,C000030,Gold,4479,2026-04-23,Active
L000162,C004203,Bronze,4887,2026-03-21,Active
L000163,C007508,Bronze,9956,2025-04-16,Active
L000164,C000736,Gold,2984,2025-03-27,Active
L000165,C002068,Bronze,613,2026-06-26,Active
L000166,C000107,Bronze,9139,2026-03-16,Inactive
L000167,C009645,Bronze,4190,2026-04-17,Active
L000168,C008895,Bronze,3030,2023-08-02,Active
L000169,C008021,Bronze,3268,2024-10-30,Active
L000170,C002233,Gold,6765,2022-02-26,Active
L000171,C000994,Platinum,2631,2025-09-12,Inactive
L000172,C009413,Silver,3508,2026-05-28,Active
L000173,C007059,Platinum,9938,2022-10-07,Active
L000174,C006790,Silver,4702,2024-07-19,Inactive
L000175,C000361,Gold,3465,2025-03-09,Active
L000176,C000305,Gold,5919,2026-04-17,Active
L000177,C002628,Silver,5889,2026-04-25,Inactive
L000178,C008966,Gold,3406,2025-06-09,Inactive
L000179,C004514,Silver,4356,2025-08-07,Active
L000180,C005911,Silver,3369,2025-01-14,Active
L000181,C008314,Silver,5236,2024-05-30,Inactive
L000182,C003101,Gold,8135,2024-05-17,Active
L000183,C005704,Bronze,918,2024-05-02,Active
L000184,C003899,Platinum,1953,2025-07-03,Active
L000185,C005441,Platinum,6118,2025-02-20,Inactive
L000186,C007931,Gold,7996,2024-10-22,Active
L000187,C000622,Silver,3760,2026-01-18,Active
L000188,C007236,Bronze,4571,2026-06-11,Active
L000189,C002499,Silver,6869,2025-09-13,Active
L000190,C000714,Gold,7050,2026-07-04,Active
L000191,C008404,Bronze,639,2026-07-06,Inactive
L000192,C002856,Platinum,3966,2023-05-31,Active
L000193,C004270,Silver,4063,2024-10-15,Active
L000194,C002909,Silver,3237,2024-07-05,Inactive
L000195,C008081,Platinum,3569,2024-10-08,Active
L000196,C004517,Platinum,8158,2023-04-17,Active
L000197,C001262,Gold,1537,2026-06-14,Active
L000198,C003161,Platinum,3053,2026-03-05,Active
L000199,C000971,Bronze,368,2024-05-04,Active
L000200,C003913,Silver,3724,2023-03-09,Active
L000201,C005199,Gold,2344,2026-01-15,Active
L000202,C008847,Silver,1496,2024-09-13,Active
L000203,C000260,Silver,8482,2024-06-01,Active
L000204,C003791,Bronze,2053,2024-07-04,Active
L000205,C009203,Bronze,2939,2024-11-02,Inactive
L000206,C000488,Bronze,8941,2023-08-26,Active
L000207,C007908,Platinum,1736,2025-10-27,Active
L000208,C000519,Silver,6983,2023-02-21,Active
L000209,C008343,Gold,1902,2026-01-31,Active
L000210,C000312,Bronze,5262,2024-06-11,Active
L000211,C003232,Silver,7126,2026-02-08,Active
L000212,C007933,Silver,9994,2024-04-13,Active
L000213,C007458,Silver,2734,2026-06-09,Active
L000214,C009784,Silver,2633,2026-04-03,Inactive
L000215,C005184,Gold,6838,2026-04-23,Inactive
L000216,C008077,Silver,6634,2026-02-20,Active
L000217,C006502,Bronze,8728,2022-11-14,Active
L000218,C006791,Platinum,5176,2024-06-22,Inactive
L000219,C007773,Silver,9554,2025-03-25,Inactive
L000220,C002738,Platinum,1024,2026-02-10,Active
L000221,C007842,Silver,1996,2023-12-06,Active
L000222,C006262,Platinum,3010,2023-06-23,Inactive
L000223,C008206,Silver,5035,2025-04-28,Inactive
L000224,C001248,Gold,9792,2024-11-17,Active
L000225,C009336,Bronze,9275,2026-03-30,Active
L000226,C004195,Bronze,8163,2025-04-21,Active
L000227,C008001,Gold,3665,2024-12-19,Active
L000228,C007378,Bronze,3265,2026-05-25,Active
L000229,C003435,Platinum,9933,2025-08-21,Active
L000230,C005382,Platinum,7720,2026-03-28,Active
L000231,C000959,Gold,2289,2024-08-04,Active
L000232,C000417,Silver,49,2022-11-13,Inactive
L000233,C005742,Silver,8519,2025-03-20,Active
L000234,C006728,Bronze,8544,2026-02-13,Active
L000235,C004382,Gold,8501,2025-04-21,Active
L000236,C005197,Silver,1466,2025-09-06,Active
L000237,C001113,Bronze,1196,2022-04-18,Active
L000238,C002689,Platinum,6380,2025-12-11,Active
L000239,C006473,Platinum,6858,2024-11-03,Active
L000240,C008820,Bronze,7357,2025-11-24,Active
L000241,C007808,Bronze,4240,2026-06-24,Inactive
L000242,C003411,Platinum,462,2025-02-12,Inactive
L000243,C000081,Platinum,6851,2026-04-24,Active
L000244,C004614,Bronze,488,2025-12-20,Active
L000245,C001374,Platinum,1190,2026-01-08,Active
L000246,C001510,Bronze,2502,2025-04-21,Active
L000247,C006443,Gold,5482,2026-03-16,Active
L000248,C003071,Gold,3229,2025-08-09,Active
L000249,C003016,Platinum,445,2025-07-08,Active
L000250,C004823,Silver,4738,2025-08-30,Active
L000251,C007822,Bronze,5909,2025-05-23,Active
L000252,C000093,Silver,2072,2025-06-09,Active
L000253,C009421,Platinum,3475,2026-02-02,Active
L000254,C006600,Silver,3641,2024-06-29,Inactive
L000255,C004443,Bronze,5333,2023-07-16,Inactive
L000256,C007602,Bronze,1359,2025-12-13,Active
L000257,C003835,Gold,2358,2023-09-19,Active
L000258,C009702,Gold,7496,2025-06-27,Inactive
L000259,C004322,Gold,5608,2025-07-11,Inactive
L000260,C003394,Platinum,9080,2025-06-24,Active
L000261,C004752,Platinum,6581,2025-07-15,Active
L000262,C007229,Bronze,5307,2025-07-22,Active
L000263,C009191,Bronze,2631,2025-07-11,Active
L000264,C002361,Gold,4429,2022-07-20,Active
L000265,C001148,Silver,6007,2026-06-27,Active
L000266,C005666,Gold,1720,2025-04-06,Active
L000267,C008075,Bronze,2683,2025-12-13,Active
L000268,C004943,Platinum,5956,2026-03-28,Active
L000269,C003663,Bronze,4777,2026-02-13,Active
L000270,C001563,Platinum,4118,2026-06-26,Active
L000271,C004113,Platinum,7938,2026-02-02,Inactive
L000272,C009050,Bronze,4691,2025-08-09,Active
L000273,C009276,Silver,3298,2025-01-31,Inactive
L000274,C008538,Platinum,7253,2024-12-19,Inactive
L000275,C000795,Platinum,6016,2025-10-11,Inactive
L000276,C005854,Platinum,3806,2025-10-11,Active
L000277,C007619,Platinum,1221,2026-04-03,Active
L000278,C001594,Bronze,2839,2025-09-13,Active
L000279,C007418,Bronze,9131,2025-12-09,Active
L000280,C005267,Silver,4997,2025-08-22,Active
L000281,C007147,Silver,5846,2026-05-10,Active
L000282,C000089,Silver,2867,2025-04-17,Inactive
L000283,C008695,Silver,9231,2024-11-26,Inactive
L000284,C009732,Gold,6636,2026-05-11,Active
L000285,C009446,Silver,4071,2025-12-26,Active
L000286,C006754,Bronze,6213,2024-05-17,Inactive
L000287,C003502,Gold,9344,2023-05-27,Active
L000288,C002234,Gold,3998,2025-04-22,Active
L000289,C002803,Gold,3530,2024-02-14,Active
L000290,C004424,Platinum,4249,2024-04-13,Active
L000291,C005663,Silver,5215,2026-06-01,Active
L000292,C007170,Bronze,3169,2025-07-14,Active
L000293,C008337,Bronze,4868,2024-12-28,Active
L000294,C002148,Gold,5232,2024-01-04,Active
L000295,C007969,Platinum,856,2025-08-15,Active
L000296,C006551,Gold,7183,2026-04-15,Inactive
L000297,C007643,Platinum,6804,2024-08-15,Inactive
L000298,C006164,Gold,2113,2026-05-10,Active
L000299,C001495,Gold,9103,2022-11-30,Active
L000300,C007696,Platinum,2223,2025-09-06,Active
L000301,C007094,Silver,5690,2024-04-09,Active
L000302,C001409,Silver,4000,2024-05-23,Active
L000303,C006691,Silver,7821,2024-12-29,Inactive
L000304,C003401,Gold,6370,2025-10-30,Active
L000305,C000109,Gold,8591,2025-06-24,Inactive
L000306,C005636,Platinum,5606,2026-03-12,Active
L000307,C008482,Gold,8815,2025-08-30,Inactive
L000308,C006604,Silver,7841,2025-12-28,Active
L000309,C001091,Platinum,6569,2025-07-09,Active
L000310,C005560,Platinum,8238,2026-02-11,Active
L000311,C009412,Platinum,8196,2023-08-24,Active
L000312,C008143,Platinum,7528,2026-02-04,Active
L000313,C008664,Silver,4071,2024-04-10,Active
L000314,C006596,Gold,9992,2026-01-01,Active
L000315,C000624,Platinum,1543,2026-05-13,Active
L000316,C006871,Bronze,7457,2022-12-07,Active
L000317,C004814,Silver,2221,2023-05-19,Active
L000318,C006553,Platinum,8246,2026-05-09,Active
L000319,C007530,Silver,7922,2024-11-09,Inactive
L000320,C005796,Bronze,8933,2026-06-19,Inactive
L000321,C007437,Silver,5228,2025-07-24,Active
L000322,C004218,Silver,5519,2024-10-10,Inactive
L000323,C005941,Bronze,2409,2025-07-11,Active
L000324,C008501,Gold,1138,2026-07-04,Active
L000325,C006429,Silver,2086,2025-02-23,Active
L000326,C006827,Bronze,1129,2026-04-06,Active
L000327,C004131,Bronze,9965,2025-10-24,Inactive
L000328,C007802,Bronze,7432,2025-05-22,Inactive
L000329,C007754,Bronze,4035,2025-10-02,Active
L000330,C004722,Platinum,955,2025-02-17,Active
L000331,C001651,Silver,2626,2024-11-06,Inactive
L000332,C004141,Silver,4385,2024-07-24,Active
L000333,C001618,Bronze,7228,2023-07-10,Active
L000334,C002030,Silver,347,2026-01-09,Inactive
L000335,C008518,Silver,195,2026-05-31,Active
L000336,C004576,Platinum,271,2026-06-25,Active
L000337,C003993,Platinum,290,2025-04-16,Inactive
L000338,C007377,Bronze,5733,2025-02-19,Active
L000339,C006150,Gold,6266,2026-04-22,Active
L000340,C004909,Platinum,2541,2024-09-14,Active
L000341,C005027,Silver,8246,2024-09-27,Active
L000342,C008261,Platinum,3284,2026-03-04,Active
L000343,C004732,Silver,1686,2026-03-14,Active
L000344,C007549,Bronze,9524,2025-07-25,Inactive
L000345,C008135,Silver,6648,2025-11-17,Active
L000346,C001607,Silver,3564,2025-02-02,Active
L000347,C004774,Platinum,2808,2026-07-02,Active
L000348,C008110,Bronze,3336,2026-03-14,Active
L000349,C006952,Silver,7041,2025-07-26,Active
L000350,C006005,Gold,8816,2026-05-20,Active
L000351,C007729,Platinum,5068,2025-11-12,Active
L000352,C003542,Platinum,8871,2026-07-02,Active
L000353,C000389,Bronze,6173,2025-03-28,Active
L000354,C001795,Gold,6001,2023-08-19,Active
L000355,C008732,Silver,713,2025-01-13,Active
L000356,C004920,Gold,8426,2025-11-22,Active
L000357,C005538,Bronze,7236,2024-06-11,Active
L000358,C003873,Silver,308,2026-04-23,Active
L000359,C008869,Bronze,578,2026-05-05,Active
L000360,C002255,Platinum,5320,2025-10-19,Inactive
L000361,C003413,Silver,500,2025-03-11,Inactive
L000362,C005460,Bronze,1501,2023-09-29,Active
L000363,C004956,Bronze,1813,2023-03-28,Active
L000364,C007397,Gold,1887,2024-10-18,Inactive
L000365,C005415,Bronze,3424,2026-06-30,Active
L000366,C007400,Bronze,2190,2026-05-31,Active
L000367,C007415,Platinum,721,2022-12-08,Active
L000368,C009101,Gold,7500,2026-06-26,Active
L000369,C004852,Gold,3570,2025-02-09,Inactive
L000370,C002026,Bronze,1656,2024-10-05,Active
L000371,C002616,Platinum,6974,2024-04-21,Inactive
L000372,C007389,Silver,9257,2024-12-20,Inactive
L000373,C002927,Bronze,4120,2025-11-24,Active
L000374,C001122,Platinum,8201,2026-01-19,Active
L000375,C002911,Silver,3126,2025-11-17,Active
L000376,C008147,Silver,3800,2025-10-17,Active
L000377,C007384,Gold,5708,2023-04-06,Active
L000378,C003483,Bronze,9822,2025-05-07,Active
L000379,C000796,Platinum,2933,2023-04-20,Inactive
L000380,C001576,Platinum,1735,2025-03-02,Inactive
L000381,C006177,Silver,8495,2024-11-03,Active
L000382,C006267,Platinum,6767,2026-04-26,Active
L000383,C002459,Platinum,2919,2024-09-18,Active
L000384,C003313,Silver,9081,2026-03-13,Active
L000385,C001254,Silver,52,2026-05-08,Active
L000386,C006835,Gold,1693,2023-02-08,Active
L000387,C008795,Silver,8226,2026-03-27,Inactive
L000388,C003838,Silver,8417,2023-07-09,Inactive
L000389,C004399,Silver,7355,2025-07-27,Active
L000390,C003596,Bronze,7098,2026-06-01,Active
L000391,C006622,Platinum,7626,2025-11-08,Active
L000392,C008383,Gold,8464,2024-03-15,Inactive
L000393,C002125,Gold,2293,2025-12-12,Active
L000394,C003239,Bronze,7890,2023-12-25,Active
L000395,C005404,Silver,6271,2023-09-15,Inactive
L000396,C005999,Gold,6345,2025-02-06,Active
L000397,C005939,Platinum,781,2026-05-23,Inactive
L000398,C002046,Platinum,3949,2026-01-22,Active
L000399,C001579,Silver,2747,2025-08-26,Active
L000400,C000015,Silver,9763,2022-08-04,Active
L000401,C002674,Gold,7651,2026-05-07,Inactive
L000402,C007017,Platinum,2223,2025-11-23,Active
L000403,C008721,Platinum,942,2026-04-15,Active
L000404,C008850,Bronze,460,2025-04-02,Active
L000405,C004813,Bronze,1847,2025-01-02,Active
L000406,C001085,Bronze,881,2025-07-31,Active
L000407,C004984,Platinum,711,2025-08-23,Inactive
L000408,C007156,Platinum,1834,2023-07-21,Active
L000409,C002885,Gold,1841,2026-02-08,Active
L000410,C000334,Bronze,1867,2024-02-25,Active
L000411,C007205,Gold,5530,2025-08-25,Active
L000412,C004368,Bronze,2975,2025-04-01,Active
L000413,C003080,Silver,1719,2026-03-19,Inactive
L000414,C007204,Silver,5434,2026-07-01,Inactive
L000415,C009910,Platinum,4900,2026-06-23,Inactive
L000416,C008865,Platinum,9760,2023-05-22,Active
L000417,C000264,Silver,6846,2023-10-27,Inactive
L000418,C004338,Gold,8811,2026-06-08,Active
L000419,C008896,Bronze,4582,2024-11-26,Active
L000420,C008448,Silver,5606,2026-05-09,Active
L000421,C005904,Silver,939,2024-12-07,Active
L000422,C001499,Silver,3538,2025-06-05,Active
L000423,C004191,Gold,8093,2025-06-07,Active
L000424,C007486,Silver,8530,2022-11-06,Inactive
L000425,C009644,Silver,723,2025-07-30,Active
L000426,C008311,Bronze,9645,2024-09-05,Active
L000427,C007591,Platinum,4454,2026-06-29,Active
L000428,C000501,Gold,8673,2026-05-11,Active
L000429,C009156,Silver,7725,2023-06-01,Active
L000430,C009415,Silver,8702,2025-02-27,Active
L000431,C003096,Platinum,7572,2026-02-06,Active
L000432,C004632,Bronze,6955,2026-05-07,Active
L000433,C000368,Gold,3961,2026-04-27,Inactive
L000434,C004059,Bronze,4773,2025-06-21,Active
L000435,C008175,Platinum,9529,2025-07-27,Active
L000436,C004631,Bronze,2225,2025-10-26,Active
L000437,C006071,Silver,2907,2026-02-07,Active
L000438,C002665,Bronze,1548,2025-11-07,Inactive
L000439,C001027,Silver,1488,2025-01-01,Active
L000440,C005909,Gold,5428,2024-10-06,Active
L000441,C005051,Bronze,2460,2022-10-12,Active
L000442,C006329,Bronze,3922,2026-03-14,Active
L000443,C009734,Silver,4109,2025-04-24,Active
L000444,C001692,Platinum,689,2022-11-29,Active
L000445,C000674,Bronze,4990,2025-09-18,Active
L000446,C005573,Platinum,8132,2023-08-06,Active
L000447,C005767,Platinum,3671,2026-01-30,Active
L000448,C005157,Bronze,8719,2025-02-09,Inactive
L000449,C000734,Bronze,4770,2024-10-20,Inactive
L000450,C003527,Gold,2173,2024-12-10,Active
L000451,C000569,Silver,3729,2026-06-04,Active
L000452,C009188,Gold,6763,2025-06-07,Active
L000453,C002923,Gold,4583,2024-03-22,Active
L000454,C007912,Gold,3691,2023-08-11,Active
L000455,C001559,Platinum,4607,2026-04-23,Active
L000456,C000102,Silver,3027,2025-10-21,Active
L000457,C003008,Silver,2177,2026-06-13,Inactive
L000458,C007202,Bronze,6317,2025-08-18,Active
L000459,C000304,Platinum,2523,2026-04-25,Active
L000460,C000077,Gold,6982,2026-07-02,Active
L000461,C006755,Bronze,5007,2025-12-20,Active
L000462,C008630,Silver,2632,2025-05-21,Active
L000463,C001209,Gold,1426,2025-07-17,Active
L000464,C007743,Silver,7432,2026-02-04,Active
L000465,C008215,Bronze,2021,2024-11-28,Active
L000466,C008945,Gold,5940,2026-06-12,Active
L000467,C008414,Bronze,6613,2025-07-19,Active
L000468,C001776,Silver,7366,2023-10-06,Active
L000469,C003474,Silver,6732,2026-04-13,Active
L000470,C000484,Bronze,4040,2024-09-22,Active
L000471,C002190,Silver,8547,2024-10-21,Active
L000472,C000347,Platinum,3492,2025-01-22,Active
L000473,C005482,Platinum,3743,2026-03-16,Active
L000474,C008362,Silver,1503,2024-07-26,Active
L000475,C001473,Gold,3681,2026-05-12,Active
L000476,C005101,Gold,2124,2026-03-13,Inactive
L000477,C006766,Platinum,6652,2025-01-23,Active
L000478,C008707,Platinum,7308,2025-10-29,Active
L000479,C004930,Gold,8279,2026-03-18,Active
L000480,C006330,Platinum,4317,2026-05-03,Active
L000481,C002610,Platinum,5355,2022-09-10,Inactive
L000482,C000004,Platinum,7119,2025-12-23,Active
L000483,C002214,Silver,7303,2025-11-22,Active
L000484,C004828,Silver,9139,2023-04-09,Inactive
L000485,C000857,Gold,8235,2026-01-21,Active
L000486,C006978,Gold,3925,2026-06-09,Inactive
L000487,C005886,Gold,7295,2025-11-15,Active
L000488,C000625,Silver,3008,2026-04-24,Active
L000489,C000291,Bronze,2884,2024-05-27,Inactive
L000490,C002019,Platinum,6610,2024-03-02,Active
L000491,C000669,Gold,1974,2024-03-16,Active
L000492,C008922,Silver,9203,2026-03-20,Active
L000493,C008265,Silver,9795,2023-11-05,Active
L000494,C009697,Gold,4,2025-07-16,Active
L000495,C001632,Bronze,8157,2024-11-10,Active
L000496,C005171,Gold,2569,2024-07-09,Inactive
L000497,C007206,Platinum,2453,2025-02-27,Active
L000498,C002523,Silver,9438,2022-10-30,Active
L000499,C002216,Gold,5490,2024-04-27,Active
L000500,C006969,Platinum,3475,2026-03-19,Active
L000501,C006497,Silver,8708,2024-09-30,Inactive
L000502,C006214,Silver,8986,2026-06-17,Active
L000503,C007033,Silver,1323,2025-07-04,Active
L000504,C007421,Silver,62,2024-11-06,Active
L000505,C001108,Platinum,1150,2022-10-11,Active
L000506,C000451,Silver,5774,2025-07-19,Active
L000507,C006290,Bronze,6486,2024-08-17,Active
L000508,C009967,Silver,5433,2026-05-31,Active
L000509,C000136,Platinum,8471,2024-08-31,Active
L000510,C001786,Gold,5794,2023-01-19,Active
L000511,C003405,Gold,4691,2026-03-05,Inactive
L000512,C002907,Platinum,5237,2024-10-28,Inactive
L000513,C008305,Gold,474,2024-04-02,Active
L000514,C007493,Bronze,5300,2024-03-18,Active
L000515,C006101,Silver,9863,2026-02-13,Active
L000516,C004505,Gold,6224,2026-02-07,Inactive
L000517,C005054,Gold,3032,2024-01-16,Active
L000518,C005206,Gold,7427,2026-05-05,Inactive
L000519,C004081,Silver,5014,2024-11-06,Active
L000520,C006919,Gold,4448,2026-02-24,Active
L000521,C006803,Gold,7704,2025-11-30,Active
L000522,C005207,Gold,7477,2026-06-17,Active
L000523,C000533,Platinum,582,2022-06-22,Active
L000524,C004831,Gold,3331,2025-01-04,Active
L000525,C004039,Gold,2645,2026-05-03,Active
L000526,C004085,Platinum,3999,2025-05-17,Active
L000527,C003205,Gold,7587,2022-07-16,Inactive
L000528,C007111,Bronze,3095,2026-07-03,Active
L000529,C000331,Gold,5287,2026-01-05,Inactive
L000530,C004958,Gold,2273,2025-11-18,Active
L000531,C003034,Silver,7213,2023-08-20,Inactive
L000532,C007685,Platinum,9257,2026-05-01,Inactive
L000533,C001598,Platinum,7557,2025-11-10,Active
L000534,C009920,Silver,2555,2025-12-28,Active
L000535,C003598,Platinum,3262,2025-07-13,Active
L000536,C009039,Bronze,6140,2023-11-07,Active
L000537,C008002,Gold,8862,2025-04-16,Active
L000538,C000591,Bronze,4443,2025-10-28,Inactive
