inventory_id,store_id,product_id,quantity_on_hand,reorder_level,last_updated_date
INV0000071,ST0005,P000014,482,64,2026-06-19
INV0000072,ST0005,P000017,52,85,2026-06-29
INV0000073,ST0005,P000012,260,91,2026-06-27
INV0000074,ST0005,P000003,256,37,2026-07-07
INV0000075,ST0005,P000006,197,85,2026-07-03
INV0000076,ST0006,P000007,353,88,2026-06-24
INV0000077,ST0006,P000009,203,39,2026-06-20
INV0000078,ST0006,P000006,433,33,2026-06-12
INV0000079,ST0006,P000011,113,24,2026-06-10
INV0000080,ST0006,P000008,183,84,2026-07-01
INV0000081,ST0006,P000020,83,72,2026-06-10
INV0000082,ST0006,P000010,361,78,2026-06-12
INV0000083,ST0006,P000018,351,69,2026-07-03
INV0000084,ST0006,P000019,137,95,2026-06-16
INV0000085,ST0006,P000001,350,26,2026-06-12
INV0000086,ST0006,P000014,13,29,2026-07-05
INV0000087,ST0006,P000004,341,33,2026-06-08
INV0000088,ST0006,P000002,93,78,2026-06-25
INV0000089,ST0006,P000015,225,30,2026-07-01
INV0000090,ST0006,P000003,395,90,2026-06-20
INV0000091,ST0007,P000018,363,48,2026-06-25
INV0000092,ST0007,P000014,289,100,2026-06-29
INV0000093,ST0007,P000007,9,80,2026-06-17
INV0000094,ST0007,P000004,82,71,2026-06-13
INV0000095,ST0007,P000020,455,40,2026-06-23
INV0000096,ST0007,P000016,464,28,2026-06-13
INV0000097,ST0007,P000012,359,22,2026-06-18
INV0000098,ST0007,P000013,107,21,2026-06-17
INV0000099,ST0007,P000001,281,83,2026-06-19
INV0000100,ST0007,P000005,416,49,2026-06-20
INV0000101,ST0007,P000009,91,36,2026-06-23
INV0000102,ST0007,P000015,80,54,2026-07-06
INV0000103,ST0007,P000003,74,20,2026-06-10
INV0000104,ST0007,P000008,496,67,2026-06-26
INV0000105,ST0007,P000006,418,25,2026-06-22
INV0000106,ST0008,P000001,305,62,2026-07-01
INV0000107,ST0008,P000015,19,98,2026-06-10
INV0000108,ST0008,P000018,345,29,2026-06-20
INV0000109,ST0008,P000019,445,26,2026-07-07
INV0000110,ST0008,P000016,449,67,2026-06-12
INV0000111,ST0008,P000009,166,27,2026-06-11
INV0000112,ST0008,P000014,371,53,2026-06-10
INV0000113,ST0008,P000002,106,97,2026-06-11
INV0000114,ST0008,P000008,163,24,2026-06-19
INV0000115,ST0008,P000011,381,43,2026-06-14
INV0000116,ST0008,P000006,74,70,2026-07-02
INV0000117,ST0008,P000005,329,66,2026-06-25
INV0000118,ST0008,P000017,110,98,2026-06-19
INV0000119,ST0008,P000010,457,86,2026-06-13
INV0000120,ST0008,P000012,89,44,2026-06-22
INV0000121,ST0009,P000014,403,75,2026-06-13
INV0000122,ST0009,P000015,62,46,2026-06-08
INV0000123,ST0009,P000006,271,73,2026-06-17
INV0000124,ST0009,P000010,50,24,2026-06-24
INV0000125,ST0009,P000002,278,74,2026-06-22
INV0000126,ST0009,P000011,125,79,2026-07-04
INV0000127,ST0009,P000016,342,24,2026-06-17
INV0000128,ST0009,P000017,321,26,2026-07-07
INV0000129,ST0009,P000013,463,68,2026-06-26
INV0000130,ST0009,P000005,186,63,2026-06-27
INV0000131,ST0009,P000009,163,55,2026-07-03
INV0000132,ST0009,P000019,52,69,2026-06-25
INV0000133,ST0009,P000007,91,42,2026-06-25
INV0000134,ST0009,P000003,23,45,2026-07-04
INV0000135,ST0009,P000020,254,64,2026-06-12
INV0000136,ST0010,P000020,126,59,2026-06-14
INV0000137,ST0010,P000010,333,89,2026-06-26
INV0000138,ST0010,P000002,381,83,2026-06-30
INV0000139,ST0010,P000014,404,47,2026-06-08
INV0000140,ST0010,P000012,20,98,2026-06-23
INV0000141,ST0010,P000005,488,51,2026-07-01
INV0000142,ST0010,P000017,269,90,2026-06-17
INV0000143,ST0010,P000001,277,35,2026-06-20
INV0000144,ST0010,P000009,419,61,2026-06-21
INV0000145,ST0010,P000013,84,52,2026-07-01
INV0000146,ST0010,P000008,18,41,2026-07-07
INV0000147,ST0010,P000003,293,59,2026-06-23
INV0000148,ST0010,P000011,105,21,2026-07-03
INV0000149,ST0010,P000004,187,26,2026-06-26
INV0000150,ST0010,P000015,156,22,2026-06-30
INV0000151,ST0011,P000001,145,62,2026-07-07
INV0000152,ST0011,P000014,92,53,2026-06-12
INV0000153,ST0011,P000016,335,99,2026-06-14
INV0000154,ST0011,P000002,432,36,2026-06-27
INV0000155,ST0011,P000020,26,58,2026-06-22
INV0000156,ST0011,P000005,173,38,2026-06-08
INV0000157,ST0011,P000003,445,63,2026-06-30
INV0000158,ST0011,P000009,491,23,2026-06-24
INV0000159,ST0011,P000012,470,91,2026-06-11
INV0000160,ST0011,P000007,168,42,2026-06-28
INV0000161,ST0011,P000013,462,58,2026-06-15
INV0000162,ST0011,P000011,264,61,2026-06-15
INV0000163,ST0011,P000019,174,82,2026-06-12
INV0000164,ST0011,P000006,158,93,2026-06-26
INV0000165,ST0011,P000010,159,31,2026-06-10
INV0000166,ST0012,P000007,318,33,2026-06-25
INV0000167,ST0012,P000004,200,100,2026-07-01
INV0000168,ST0012,P000017,7,61,2026-06-13
INV0000169,ST0012,P000018,443,42,2026-06-10
INV0000170,ST0012,P000012,114,30,2026-06-29
INV0000171,ST0012,P000002,431,20,2026-06-16
INV0000172,ST0012,P000008,379,96,2026-06-14
INV0000173,ST0012,P000015,436,26,2026-07-07
INV0000174,ST0012,P000019,242,83,2026-06-16
INV0000175,ST0012,P000013,348,59,2026-07-03
INV0000176,ST0012,P000016,387,61,2026-07-05
INV0000177,ST0012,P000003,59,75,2026-07-07
INV0000178,ST0012,P000011,342,64,2026-06-15
INV0000179,ST0012,P000005,376,76,2026-06-30
INV0000180,ST0012,P000014,137,32,2026-06-09
INV0000181,ST0013,P000011,477,58,2026-07-03
INV0000182,ST0013,P000016,445,69,2026-06-19
INV0000183,ST0013,P000017,322,83,2026-06-16
INV0000184,ST0013,P000013,89,61,2026-06-21
INV0000185,ST0013,P000008,410,98,2026-06-24
INV0000186,ST0013,P000010,330,33,2026-06-26
INV0000187,ST0013,P000009,427,36,2026-06-12
INV0000188,ST0013,P000018,423,46,2026-06-14
INV0000189,ST0013,P000012,205,54,2026-07-07
INV0000190,ST0013,P000003,215,64,2026-06-15
INV0000191,ST0013,P000015,21,31,2026-06-11
INV0000192,ST0013,P000007,494,39,2026-06-10
INV0000193,ST0013,P000019,244,51,2026-07-07
INV0000194,ST0013,P000001,14,38,2026-07-05
INV0000195,ST0013,P000006,461,68,2026-06-18
INV0000196,ST0014,P000007,42,73,2026-06-30
INV0000197,ST0014,P000004,64,91,2026-07-07
INV0000198,ST0014,P000020,119,82,2026-06-24
INV0000199,ST0014,P000005,101,64,2026-07-04
INV0000200,ST0014,P000003,187,28,2026-06-26
INV0000201,ST0014,P000008,282,85,2026-06-23
INV0000202,ST0014,P000011,15,93,2026-06-22
INV0000203,ST0014,P000015,27,30,2026-06-28
INV0000204,ST0014,P000018,402,84,2026-06-13
INV0000205,ST0014,P000016,325,24,2026-06-08
INV0000206,ST0014,P000001,282,23,2026-06-12
INV0000207,ST0014,P000014,3,77,2026-07-01
INV0000208,ST0014,P000010,191,28,2026-07-03
INV0000209,ST0014,P000019,248,70,2026-07-07
INV0000210,ST0014,P000006,40,67,2026-07-06
INV0000211,ST0015,P000020,457,26,2026-06-23
INV0000212,ST0015,P000007,22,26,2026-06-20
INV0000213,ST0015,P000008,428,45,2026-06-08
INV0000214,ST0015,P000005,445,53,2026-06-17
INV0000215,ST0015,P000018,304,31,2026-06-12
INV0000216,ST0015,P000001,271,54,2026-06-10
INV0000217,ST0015,P000004,128,55,2026-06-30
INV0000218,ST0015,P000019,384,54,2026-06-13
INV0000219,ST0015,P000006,403,94,2026-06-22
INV0000220,ST0015,P000015,23,37,2026-06-09
INV0000221,ST0015,P000014,203,72,2026-06-10
INV0000222,ST0015,P000010,140,84,2026-06-24
INV0000223,ST0015,P000016,199,60,2026-06-18
INV0000224,ST0015,P000003,453,21,2026-07-04
INV0000225,ST0015,P000009,366,88,2026-06-13
INV0000226,ST0016,P000016,1,23,2026-07-01
INV0000227,ST0016,P000017,351,98,2026-06-21
INV0000228,ST0016,P000004,299,55,2026-06-19
INV0000229,ST0016,P000001,138,32,2026-06-28
INV0000230,ST0016,P000018,435,85,2026-07-01
INV0000231,ST0016,P000009,489,59,2026-06-19
INV0000232,ST0016,P000002,47,26,2026-06-21
INV0000233,ST0016,P000006,291,32,2026-06-22
INV0000234,ST0016,P000013,118,92,2026-07-05
INV0000235,ST0016,P000012,17,97,2026-06-10
INV0000236,ST0016,P000011,143,44,2026-06-24
INV0000237,ST0016,P000015,67,29,2026-06-13
INV0000238,ST0016,P000014,297,52,2026-06-29
INV0000239,ST0016,P000003,373,70,2026-06-12
INV0000240,ST0016,P000010,176,62,2026-06-23
INV0000241,ST0017,P000019,367,24,2026-07-06
INV0000242,ST0017,P000018,101,39,2026-06-30
INV0000243,ST0017,P000015,66,76,2026-06-16
INV0000244,ST0017,P000016,242,97,2026-06-12
INV0000245,ST0017,P000006,114,69,2026-07-04
INV0000246,ST0017,P000001,462,94,2026-06-28
INV0000247,ST0017,P000013,254,30,2026-06-11
INV0000248,ST0017,P000010,71,27,2026-06-09
INV0000249,ST0017,P000014,197,73,2026-07-07
INV0000250,ST0017,P000008,141,43,2026-06-09
INV0000251,ST0017,P000003,209,32,2026-06-21
INV0000252,ST0017,P000002,394,61,2026-06-25
INV0000253,ST0017,P000005,190,97,2026-06-26
INV0000254,ST0017,P000020,136,68,2026-06-12
INV0000255,ST0017,P000009,315,54,2026-06-17
INV0000256,ST0018,P000015,135,71,2026-06-15
INV0000257,ST0018,P000007,188,69,2026-07-03
INV0000258,ST0018,P000009,411,82,2026-06-27
INV0000259,ST0018,P000017,82,82,2026-06-16
INV0000260,ST0018,P000012,174,57,2026-06-09
INV0000261,ST0018,P000008,239,64,2026-07-04
INV0000262,ST0018,P000014,331,75,2026-07-01
INV0000263,ST0018,P000006,141,64,2026-07-06
INV0000264,ST0018,P000004,497,66,2026-06-26
INV0000265,ST0018,P000001,479,87,2026-06-11
INV0000266,ST0018,P000011,173,32,2026-06-23
INV0000267,ST0018,P000002,255,39,2026-06-23
INV0000268,ST0018,P000020,11,21,2026-06-16
INV0000269,ST0018,P000018,448,72,2026-06-23
INV0000270,ST0018,P000003,78,74,2026-07-01
INV0000271,ST0019,P000011,464,96,2026-06-22
INV0000272,ST0019,P000002,318,54,2026-06-28
INV0000273,ST0019,P000016,189,62,2026-07-03
INV0000274,ST0019,P000007,22,100,2026-06-24
INV0000275,ST0019,P000004,331,40,2026-06-11
INV0000276,ST0019,P000017,282,20,2026-06-18
INV0000277,ST0019,P000018,463,85,2026-07-05
INV0000278,ST0019,P000019,161,51,2026-06-12
INV0000279,ST0019,P000001,172,49,2026-06-22
INV0000280,ST0019,P000009,8,28,2026-07-07
INV0000281,ST0019,P000006,159,79,2026-06-10
INV0000282,ST0019,P000014,130,73,2026-06-25
INV0000283,ST0019,P000005,120,63,2026-06-22
INV0000284,ST0019,P000020,212,51,2026-07-03
INV0000285,ST0019,P000003,350,66,2026-07-05
INV0000286,ST0020,P000013,409,31,2026-06-30
INV0000287,ST0020,P000008,10,36,2026-06-30
INV0000288,ST0020,P000004,131,24,2026-06-12
INV0000289,ST0020,P000019,121,27,2026-06-17
INV0000290,ST0020,P000018,398,53,2026-06-27
INV0000291,ST0020,P000002,123,36,2026-06-19
INV0000292,ST0020,P000003,312,24,2026-07-01
INV0000293,ST0020,P000007,52,54,2026-06-24
INV0000294,ST0020,P000020,444,58,2026-06-17
INV0000295,ST0020,P000017,182,66,2026-06-16
INV0000296,ST0020,P000005,93,27,2026-06-15
INV0000297,ST0020,P000016,135,31,2026-06-10
INV0000298,ST0020,P000001,190,83,2026-06-13
INV0000299,ST0020,P000014,227,99,2026-07-07
INV0000300,ST0020,P000015,372,95,2026-07-05
INV0000301,ST0021,P000010,251,36,2026-07-04
INV0000302,ST0021,P000012,28,56,2026-06-24
INV0000303,ST0021,P000007,430,31,2026-07-07
INV0000304,ST0021,P000004,180,72,2026-07-01
INV0000305,ST0021,P000002,152,94,2026-07-07
INV0000306,ST0021,P000018,288,48,2026-06-15
INV0000307,ST0021,P000017,240,43,2026-06-22
INV0000308,ST0021,P000015,46,91,2026-06-15
INV0000309,ST0021,P000006,291,68,2026-07-04
INV0000310,ST0021,P000001,97,81,2026-06-21
INV0000311,ST0021,P000019,486,65,2026-06-09
INV0000312,ST0021,P000005,23,75,2026-06-20
INV0000313,ST0021,P000013,107,20,2026-06-24
INV0000314,ST0021,P000011,371,41,2026-07-06
INV0000315,ST0021,P000003,44,50,2026-06-16
INV0000316,ST0022,P000012,286,98,2026-06-29
INV0000317,ST0022,P000002,265,34,2026-06-22
INV0000318,ST0022,P000001,435,59,2026-07-03
INV0000319,ST0022,P000013,479,68,2026-06-26
INV0000320,ST0022,P000019,466,74,2026-06-21
INV0000321,ST0022,P000020,49,89,2026-06-29
INV0000322,ST0022,P000011,311,91,2026-06-08
INV0000323,ST0022,P000008,92,72,2026-07-02
INV0000324,ST0022,P000017,7,70,2026-07-05
INV0000325,ST0022,P000007,48,80,2026-07-03
INV0000326,ST0022,P000015,476,87,2026-07-06
INV0000327,ST0022,P000009,7,99,2026-06-16
INV0000328,ST0022,P000003,38,70,2026-07-06
INV0000329,ST0022,P000010,414,87,2026-07-02
INV0000330,ST0022,P000016,480,47,2026-06-24
INV0000331,ST0023,P000017,266,99,2026-06-30
INV0000332,ST0023,P000003,355,77,2026-06-30
INV0000333,ST0023,P000015,86,75,2026-06-20
INV0000334,ST0023,P000002,318,93,2026-06-08
INV0000335,ST0023,P000014,150,39,2026-06-29
INV0000336,ST0023,P000018,179,44,2026-06-22
INV0000337,ST0023,P000019,156,38,2026-06-26
INV0000338,ST0023,P000001,211,35,2026-06-25
INV0000339,ST0023,P000016,315,59,2026-07-05
INV0000340,ST0023,P000012,2,23,2026-06-11
INV0000341,ST0023,P000009,363,35,2026-06-18
INV0000342,ST0023,P000007,319,48,2026-06-20
INV0000343,ST0023,P000006,251,79,2026-07-05
INV0000344,ST0023,P000013,434,63,2026-06-23
INV0000345,ST0023,P000004,257,44,2026-06-20
INV0000346,ST0024,P000006,369,69,2026-06-21
INV0000347,ST0024,P000002,282,51,2026-06-11
INV0000348,ST0024,P000009,345,23,2026-06-29
INV0000349,ST0024,P000020,214,21,2026-06-23
INV0000350,ST0024,P000005,369,72,2026-07-02
INV0000351,ST0024,P000014,412,81,2026-06-23
INV0000352,ST0024,P000012,189,37,2026-06-26
INV0000353,ST0024,P000008,253,21,2026-06-18
INV0000354,ST0024,P000007,0,59,2026-06-13
INV0000355,ST0024,P000019,445,34,2026-06-22
INV0000356,ST0024,P000003,456,21,2026-06-20
INV0000357,ST0024,P000018,32,97,2026-06-12
INV0000358,ST0024,P000017,102,87,2026-06-26
INV0000359,ST0024,P000011,271,48,2026-07-02
INV0000360,ST0024,P000016,129,25,2026-07-06
INV0000361,ST0025,P000009,443,68,2026-06-11
INV0000362,ST0025,P000012,327,32,2026-06-26
INV0000363,ST0025,P000010,116,31,2026-07-05
INV0000364,ST0025,P000001,35,83,2026-06-20
INV0000365,ST0025,P000011,387,100,2026-06-18
INV0000366,ST0025,P000004,266,59,2026-06-15
INV0000367,ST0025,P000018,433,90,2026-06-19
INV0000368,ST0025,P000002,64,64,2026-06-22
INV0000369,ST0025,P000020,150,100,2026-06-20
INV0000370,ST0025,P000015,402,32,2026-06-10
INV0000371,ST0025,P000008,39,58,2026-06-26
INV0000372,ST0025,P000014,142,78,2026-06-10
INV0000373,ST0025,P000003,250,38,2026-06-17
INV0000374,ST0025,P000019,179,49,2026-06-10
INV0000375,ST0025,P000016,177,82,2026-07-01
INV0000376,ST0026,P000008,287,50,2026-06-30
INV0000377,ST0026,P000005,132,54,2026-06-11
INV0000378,ST0026,P000019,334,100,2026-06-20
INV0000379,ST0026,P000002,320,77,2026-06-27
INV0000380,ST0026,P000015,62,80,2026-07-04
INV0000381,ST0026,P000014,44,21,2026-06-30
INV0000382,ST0026,P000010,399,36,2026-07-07
INV0000383,ST0026,P000001,149,22,2026-06-27
INV0000384,ST0026,P000016,286,72,2026-07-07
INV0000385,ST0026,P000017,153,97,2026-07-02
INV0000386,ST0026,P000004,143,85,2026-07-07
INV0000387,ST0026,P000012,150,30,2026-06-19
INV0000388,ST0026,P000006,390,55,2026-06-09
INV0000389,ST0026,P000018,25,21,2026-06-26
INV0000390,ST0026,P000003,330,25,2026-07-03
INV0000391,ST0027,P000003,171,20,2026-06-16
INV0000392,ST0027,P000004,274,82,2026-07-02
INV0000393,ST0027,P000001,2,75,2026-06-23
INV0000394,ST0027,P000007,381,51,2026-06-19
INV0000395,ST0027,P000010,302,87,2026-06-12
INV0000396,ST0027,P000008,78,77,2026-07-05
INV0000397,ST0027,P000012,435,33,2026-06-16
INV0000398,ST0027,P000011,481,52,2026-06-21
INV0000399,ST0027,P000014,356,29,2026-07-06
INV0000400,ST0027,P000018,338,82,2026-06-13
INV0000401,ST0027,P000005,63,99,2026-06-08
INV0000402,ST0027,P000006,123,88,2026-06-19
INV0000403,ST0027,P000013,416,99,2026-06-28
INV0000404,ST0027,P000020,323,88,2026-06-08
INV0000405,ST0027,P000016,94,71,2026-06-11
INV0000406,ST0028,P000013,146,39,2026-07-04
INV0000407,ST0028,P000010,195,97,2026-06-25
INV0000408,ST0028,P000004,7,41,2026-07-04
INV0000409,ST0028,P000007,440,69,2026-06-24
INV0000410,ST0028,P000011,283,45,2026-06-30
INV0000411,ST0028,P000006,370,62,2026-06-09
INV0000412,ST0028,P000017,93,42,2026-07-02
INV0000413,ST0028,P000019,217,27,2026-06-10
INV0000414,ST0028,P000001,145,65,2026-06-29
INV0000415,ST0028,P000002,250,40,2026-06-10
INV0000416,ST0028,P000005,327,48,2026-06-14
INV0000417,ST0028,P000018,252,72,2026-06-11
INV0000418,ST0028,P000012,433,55,2026-07-07
INV0000419,ST0028,P000016,402,74,2026-06-10
INV0000420,ST0028,P000003,275,70,2026-06-28
INV0000421,ST0029,P000020,262,34,2026-06-28
INV0000422,ST0029,P000012,3,72,2026-06-22
INV0000423,ST0029,P000016,98,86,2026-06-12
INV0000424,ST0029,P000006,482,47,2026-06-14
INV0000425,ST0029,P000017,305,54,2026-06-24
INV0000426,ST0029,P000013,377,76,2026-07-04
INV0000427,ST0029,P000003,85,59,2026-06-14
INV0000428,ST0029,P000007,195,94,2026-06-24
INV0000429,ST0029,P000001,116,51,2026-07-02
INV0000430,ST0029,P000005,54,64,2026-07-07
INV0000431,ST0029,P000015,287,97,2026-07-01
INV0000432,ST0029,P000002,474,90,2026-06-29
INV0000433,ST0029,P000018,255,26,2026-06-19
INV0000434,ST0029,P000008,397,56,2026-06-10
INV0000435,ST0029,P000019,73,85,2026-07-07
INV0000436,ST0030,P000003,420,51,2026-06-18
INV0000437,ST0030,P000020,76,66,2026-06-12
INV0000438,ST0030,P000019,205,21,2026-07-01
INV0000439,ST0030,P000002,152,91,2026-06-20
INV0000440,ST0030,P000014,321,50,2026-06-20
INV0000441,ST0030,P000007,374,60,2026-06-22
INV0000442,ST0030,P000008,57,98,2026-06-23
INV0000443,ST0030,P000012,152,47,2026-06-14
INV0000444,ST0030,P000009,182,36,2026-07-07
INV0000445,ST0030,P000017,364,26,2026-07-03
INV0000446,ST0030,P000006,460,33,2026-07-03
INV0000447,ST0030,P000018,82,57,2026-06-15
INV0000448,ST0030,P000010,391,33,2026-06-26
INV0000449,ST0030,P000016,84,35,2026-07-02
INV0000450,ST0030,P000011,472,29,2026-06-10
INV0000451,ST0031,P000009,289,94,2026-06-26
INV0000452,ST0031,P000018,382,65,2026-06-18
INV0000453,ST0031,P000005,414,90,2026-06-22
INV0000454,ST0031,P000010,353,51,2026-07-02
INV0000455,ST0031,P000013,395,38,2026-07-04
INV0000456,ST0031,P000003,307,65,2026-07-02
INV0000457,ST0031,P000014,305,63,2026-06-23
INV0000458,ST0031,P000004,323,32,2026-07-04
INV0000459,ST0031,P000006,250,61,2026-06-15
INV0000460,ST0031,P000016,311,91,2026-07-04
INV0000461,ST0031,P000015,182,58,2026-06-27
INV0000462,ST0031,P000017,159,95,2026-07-06
INV0000463,ST0031,P000011,334,36,2026-06-26
INV0000464,ST0031,P000008,214,28,2026-06-27
INV0000465,ST0031,P000012,259,29,2026-06-16
INV0000466,ST0032,P000018,248,87,2026-06-08
INV0000467,ST0032,P000009,2,32,2026-06-25
INV0000468,ST0032,P000004,471,23,2026-06-18
INV0000469,ST0032,P000008,491,87,2026-06-20
INV0000470,ST0032,P000010,290,49,2026-06-12
INV0000471,ST0032,P000011,435,87,2026-07-01
INV0000472,ST0032,P000020,457,38,2026-06-11
INV0000473,ST0032,P000012,436,82,2026-07-02
INV0000474,ST0032,P000019,160,97,2026-06-27
INV0000475,ST0032,P000007,141,98,2026-07-01
INV0000476,ST0032,P000017,117,39,2026-06-22
INV0000477,ST0032,P000005,91,87,2026-07-07
INV0000478,ST0032,P000001,124,34,2026-06-09
INV0000479,ST0032,P000015,312,62,2026-07-04
INV0000480,ST0032,P000002,59,60,2026-06-08
INV0000481,ST0033,P000006,166,24,2026-07-05
INV0000482,ST0033,P000019,458,65,2026-06-29
INV0000483,ST0033,P000015,399,67,2026-07-07
INV0000484,ST0033,P000012,304,77,2026-06-25
INV0000485,ST0033,P000004,63,86,2026-07-06
INV0000486,ST0033,P000002,108,51,2026-06-13
INV0000487,ST0033,P000013,20,68,2026-06-13
INV0000488,ST0033,P000011,143,87,2026-07-03
INV0000489,ST0033,P000009,112,93,2026-06-30
INV0000490,ST0033,P000005,58,63,2026-06-28
INV0000491,ST0033,P000007,391,90,2026-06-25
INV0000492,ST0033,P000014,34,47,2026-06-27
INV0000493,ST0033,P000003,111,70,2026-07-07
INV0000494,ST0033,P000018,284,43,2026-07-06
INV0000495,ST0033,P000016,79,45,2026-06-13
INV0000496,ST0034,P000013,460,83,2026-06-19
INV0000497,ST0034,P000004,173,48,2026-07-01
INV0000498,ST0034,P000018,8,37,2026-06-26
INV0000499,ST0034,P000011,176,69,2026-06-30
INV0000500,ST0034,P000009,427,22,2026-07-06
INV0000501,ST0034,P000001,422,58,2026-07-02
INV0000502,ST0034,P000015,27,97,2026-06-12
INV0000503,ST0034,P000007,229,46,2026-07-07
INV0000504,ST0034,P000017,231,46,2026-06-28
INV0000505,ST0034,P000016,201,43,2026-06-19
INV0000506,ST0034,P000002,366,35,2026-07-07
INV0000507,ST0034,P000008,78,67,2026-06-25
INV0000508,ST0034,P000020,474,35,2026-06-18
INV0000509,ST0034,P000005,469,96,2026-06-09
INV0000510,ST0034,P000003,438,81,2026-07-07
INV0000511,ST0035,P000002,34,57,2026-06-17
INV0000512,ST0035,P000006,40,62,2026-06-17
INV0000513,ST0035,P000019,422,78,2026-06-21
INV0000514,ST0035,P000018,1,92,2026-07-07
INV0000515,ST0035,P000012,264,90,2026-06-19
INV0000516,ST0035,P000020,93,68,2026-06-10
INV0000517,ST0035,P000010,303,81,2026-06-12
INV0000518,ST0035,P000007,349,86,2026-06-22
INV0000519,ST0035,P000014,308,57,2026-07-02
INV0000520,ST0035,P000001,401,43,2026-06-10
INV0000521,ST0035,P000016,250,95,2026-07-06
INV0000522,ST0035,P000017,325,81,2026-06-21
INV0000523,ST0035,P000005,21,72,2026-06-28
INV0000524,ST0035,P000015,360,44,2026-06-24
INV0000525,ST0035,P000013,179,50,2026-06-28
INV0000526,ST0036,P000016,67,32,2026-06-19
INV0000527,ST0036,P000013,163,29,2026-06-12
INV0000528,ST0036,P000012,60,55,2026-07-07
INV0000529,ST0036,P000017,405,66,2026-06-20
INV0000530,ST0036,P000003,120,73,2026-07-03
INV0000531,ST0036,P000009,125,68,2026-07-03
INV0000532,ST0036,P000006,141,94,2026-06-23
INV0000533,ST0036,P000014,355,27,2026-06-19
INV0000534,ST0036,P000008,222,48,2026-06-09
INV0000535,ST0036,P000007,23,61,2026-06-12
