preference_id,customer_id,email_opt_in,sms_opt_in,preferred_language,preferred_channel,last_updated_date
PR000328,C000328,True,False,English,Mobile App,2022-12-17
PR000329,C000329,True,True,Spanish,None,2025-06-25
PR000330,C000330,True,True,English,None,2026-06-30
PR000331,C000331,True,False,Spanish,Mobile App,2025-08-17
PR000332,C000332,True,False,English,Email,2025-11-10
PR000333,C000333,False,True,English,None,2026-03-04
PR000334,C000334,True,False,English,None,2025-04-17
PR000335,C000335,False,True,English,SMS,2024-07-01
PR000336,C000336,False,True,Spanish,SMS,2025-06-27
PR000337,C000337,True,True,English,Mobile App,2026-04-27
PR000338,C000338,True,True,English,Email,2025-03-25
PR000339,C000339,True,True,English,SMS,2026-02-27
PR000340,C000340,True,True,English,Mobile App,2023-03-20
PR000341,C000341,False,True,English,Email,2026-05-24
PR000342,C000342,True,False,English,None,2024-02-26
PR000343,C000343,False,True,English,Mobile App,2024-11-16
PR000344,C000344,True,True,English,SMS,2026-06-28
PR000345,C000345,True,False,English,SMS,2026-04-09
PR000346,C000346,False,True,English,Email,2026-03-09
PR000347,C000347,True,True,English,None,2026-06-14
PR000348,C000348,False,False,English,SMS,2026-02-26
PR000349,C000349,True,True,Spanish,Mobile App,2025-03-19
PR000350,C000350,False,True,English,SMS,2024-04-30
PR000351,C000351,True,True,English,Email,2024-09-06
PR000352,C000352,False,False,English,None,2024-07-02
PR000353,C000353,False,False,English,Mobile App,2025-09-26
PR000354,C000354,True,True,Spanish,Email,2026-05-12
PR000355,C000355,True,True,English,Email,2026-04-05
PR000356,C000356,True,True,English,None,2025-04-25
PR000357,C000357,False,True,English,Email,2026-06-28
PR000358,C000358,False,True,English,SMS,2024-07-27
PR000359,C000359,False,False,English,Mobile App,2026-02-20
PR000360,C000360,True,True,English,Mobile App,2025-10-21
PR000361,C000361,True,True,English,Mobile App,2023-05-29
PR000362,C000362,False,True,English,None,2026-01-12
PR000363,C000363,True,False,English,Email,2024-05-14
PR000364,C000364,False,True,English,SMS,2025-01-03
PR000365,C000365,True,True,Spanish,Email,2026-06-01
PR000366,C000366,True,True,English,Mobile App,2026-04-05
PR000367,C000367,True,False,English,SMS,2026-06-15
PR000368,C000368,False,True,English,None,2026-03-09
PR000369,C000369,True,True,English,None,2026-03-26
PR000370,C000370,False,False,English,Mobile App,2026-05-07
PR000371,C000371,False,True,English,Mobile App,2023-01-13
PR000372,C000372,True,True,English,None,2024-12-09
PR000373,C000373,True,True,English,Email,2025-05-21
PR000374,C000374,True,False,Spanish,SMS,2025-11-04
PR000375,C000375,False,True,Spanish,None,2023-03-26
PR000376,C000376,True,True,Spanish,Email,2023-07-28
PR000377,C000377,True,True,Spanish,SMS,2025-02-27
PR000378,C000378,True,False,Spanish,SMS,2026-06-27
PR000379,C000379,False,False,English,Mobile App,2025-12-31
PR000380,C000380,True,True,English,Mobile App,2026-06-28
PR000381,C000381,True,True,English,None,2025-09-13
PR000382,C000382,False,True,English,Mobile App,2024-06-18
PR000383,C000383,True,True,English,None,2026-05-24
PR000384,C000384,True,True,English,SMS,2023-08-26
PR000385,C000385,False,False,English,Email,2025-10-01
PR000386,C000386,True,True,English,Email,2022-08-13
PR000387,C000387,False,True,Spanish,None,2025-09-01
PR000388,C000388,True,True,English,None,2024-08-30
PR000389,C000389,True,False,Spanish,None,2024-06-25
PR000390,C000390,False,True,English,Email,2022-05-29
PR000391,C000391,False,True,Spanish,Mobile App,2026-01-11
PR000392,C000392,False,True,Spanish,Mobile App,2025-10-31
PR000393,C000393,True,True,Spanish,None,2025-03-07
PR000394,C000394,True,True,English,Mobile App,2025-08-11
PR000395,C000395,True,False,Spanish,SMS,2022-08-16
PR000396,C000396,True,True,English,Mobile App,2025-07-19
PR000397,C000397,True,False,English,SMS,2026-01-10
PR000398,C000398,True,True,Spanish,Mobile App,2026-05-06
PR000399,C000399,False,True,English,Mobile App,2025-02-18
PR000400,C000400,False,False,English,None,2026-01-05
PR000401,C000401,True,False,Spanish,None,2025-10-25
PR000402,C000402,False,True,English,Email,2025-05-17
PR000403,C000403,True,True,Spanish,SMS,2023-11-17
PR000404,C000404,True,True,English,None,2026-03-20
PR000405,C000405,True,False,English,Mobile App,2025-12-27
PR000406,C000406,True,True,English,SMS,2026-06-28
PR000407,C000407,True,False,English,Mobile App,2026-03-26
PR000408,C000408,True,True,English,Email,2026-05-05
PR000409,C000409,True,True,English,SMS,2025-05-30
PR000410,C000410,True,False,Spanish,None,2022-02-10
PR000411,C000411,True,True,English,None,2025-02-18
PR000412,C000412,False,True,English,SMS,2026-02-14
PR000413,C000413,True,True,English,Email,2026-05-03
PR000414,C000414,True,True,Spanish,SMS,2026-03-15
PR000415,C000415,True,False,Spanish,SMS,2022-04-09
PR000416,C000416,True,True,English,None,2024-09-11
PR000417,C000417,True,False,English,Email,2024-07-31
PR000418,C000418,True,False,English,None,2026-01-25
PR000419,C000419,True,True,English,Mobile App,2022-11-03
PR000420,C000420,True,False,English,Email,2026-01-20
PR000421,C000421,True,True,Spanish,SMS,2025-04-07
PR000422,C000422,True,True,English,None,2026-03-16
PR000423,C000423,True,True,English,SMS,2026-01-25
PR000424,C000424,False,True,English,Mobile App,2024-08-20
PR000425,C000425,False,False,English,None,2026-04-09
PR000426,C000426,False,True,English,Mobile App,2024-01-29
PR000427,C000427,True,False,Spanish,SMS,2025-07-09
PR000428,C000428,True,True,Spanish,Mobile App,2025-06-06
PR000429,C000429,False,True,English,SMS,2026-02-20
PR000430,C000430,False,True,English,Mobile App,2025-09-19
PR000431,C000431,True,True,Spanish,Email,2026-01-16
PR000432,C000432,True,True,English,SMS,2024-09-08
PR000433,C000433,False,True,English,Email,2025-03-30
PR000434,C000434,False,False,English,None,2025-08-23
PR000435,C000435,False,True,English,None,2025-08-31
PR000436,C000436,True,True,English,None,2026-01-19
PR000437,C000437,False,True,English,Mobile App,2024-05-13
PR000438,C000438,False,False,Spanish,Email,2026-01-22
PR000439,C000439,True,True,English,SMS,2025-07-01
PR000440,C000440,True,False,Spanish,Mobile App,2025-06-30
PR000441,C000441,True,True,Spanish,Mobile App,2025-10-26
PR000442,C000442,True,False,English,SMS,2025-06-06
PR000443,C000443,True,True,English,Mobile App,2026-04-08
PR000444,C000444,True,False,English,SMS,2026-05-16
PR000445,C000445,True,True,English,SMS,2025-02-01
PR000446,C000446,True,True,English,None,2026-06-19
PR000447,C000447,True,True,English,None,2024-05-26
PR000448,C000448,False,True,English,SMS,2025-11-16
PR000449,C000449,True,True,English,SMS,2025-04-08
PR000450,C000450,True,False,English,SMS,2022-04-14
PR000451,C000451,True,True,English,Email,2025-08-26
PR000452,C000452,True,True,English,Mobile App,2026-07-06
PR000453,C000453,True,False,English,Mobile App,2026-03-13
PR000454,C000454,True,True,English,Email,2023-02-15
PR000455,C000455,True,True,Spanish,None,2023-04-19
PR000456,C000456,True,False,Spanish,SMS,2026-02-06
PR000457,C000457,False,True,English,SMS,2026-05-16
PR000458,C000458,True,True,English,SMS,2025-02-26
PR000459,C000459,True,True,Spanish,Email,2024-05-02
PR000460,C000460,True,False,English,None,2024-01-13
PR000461,C000461,True,False,English,Mobile App,2025-09-11
PR000462,C000462,True,True,English,Email,2023-10-07
PR000463,C000463,True,True,Spanish,None,2026-04-28
PR000464,C000464,True,True,Spanish,Email,2024-11-19
PR000465,C000465,True,True,English,Email,2026-06-12
PR000466,C000466,True,False,English,SMS,2026-06-04
PR000467,C000467,True,True,Spanish,Mobile App,2022-11-04
PR000468,C000468,False,False,Spanish,Email,2025-05-20
PR000469,C000469,True,False,English,Mobile App,2025-05-24
PR000470,C000470,False,True,English,Email,2025-11-15
PR000471,C000471,True,False,English,Email,2024-04-27
PR000472,C000472,False,False,English,Mobile App,2024-08-21
PR000473,C000473,True,False,English,SMS,2023-05-21
PR000474,C000474,True,True,English,SMS,2025-10-01
PR000475,C000475,True,True,English,SMS,2024-10-23
PR000476,C000476,True,False,Spanish,Email,2025-11-15
PR000477,C000477,True,True,Spanish,SMS,2024-06-22
PR000478,C000478,False,True,Spanish,Mobile App,2023-03-10
PR000479,C000479,True,True,English,None,2026-03-27
PR000480,C000480,True,False,Spanish,Email,2025-04-29
PR000481,C000481,True,True,English,SMS,2025-02-03
PR000482,C000482,True,False,Spanish,SMS,2026-05-02
PR000483,C000483,True,False,English,Mobile App,2025-04-12
PR000484,C000484,False,True,English,SMS,2025-06-27
PR000485,C000485,True,True,English,Mobile App,2025-12-28
PR000486,C000486,True,False,Spanish,Email,2026-04-14
PR000487,C000487,True,False,English,Email,2026-04-28
PR000488,C000488,True,False,English,Mobile App,2025-05-29
PR000489,C000489,True,False,Spanish,Email,2026-06-29
PR000490,C000490,True,True,English,Mobile App,2025-07-11
PR000491,C000491,False,True,English,SMS,2026-07-01
PR000492,C000492,True,True,English,Email,2024-05-13
PR000493,C000493,True,True,English,SMS,2024-10-01
PR000494,C000494,True,True,Spanish,SMS,2024-07-30
PR000495,C000495,False,True,English,Mobile App,2023-12-02
PR000496,C000496,True,True,Spanish,SMS,2026-04-23
PR000497,C000497,True,True,English,Mobile App,2026-03-08
PR000498,C000498,True,False,Spanish,Mobile App,2025-11-02
PR000499,C000499,True,True,English,Email,2026-05-12
PR000500,C000500,True,True,English,None,2025-10-02
PR000501,C000501,False,True,English,Mobile App,2024-11-05
PR000502,C000502,False,False,Spanish,SMS,2026-03-16
PR000503,C000503,True,True,English,Mobile App,2025-11-09
PR000504,C000504,True,False,English,Email,2023-09-30
PR000505,C000505,True,True,English,SMS,2025-06-08
PR000506,C000506,True,True,English,Email,2026-06-20
PR000507,C000507,False,True,Spanish,None,2026-06-03
PR000508,C000508,False,False,English,SMS,2026-05-23
PR000509,C000509,True,True,English,SMS,2026-05-21
PR000510,C000510,True,True,English,SMS,2026-06-08
PR000511,C000511,True,False,English,Mobile App,2026-03-03
PR000512,C000512,True,True,English,SMS,2024-04-08
PR000513,C000513,True,True,English,SMS,2026-04-27
PR000514,C000514,True,True,English,SMS,2025-10-02
PR000515,C000515,True,True,English,None,2025-04-14
PR000516,C000516,True,True,Spanish,None,2025-01-12
PR000517,C000517,True,True,Spanish,SMS,2022-11-24
PR000518,C000518,True,True,Spanish,None,2025-05-23
PR000519,C000519,True,True,English,Email,2025-09-21
PR000520,C000520,False,True,English,None,2025-05-08
PR000521,C000521,True,True,English,Mobile App,2023-03-09
PR000522,C000522,True,False,Spanish,Email,2023-10-10
