transaction_id,customer_id,store_id,transaction_date,payment_method,transaction_total
T0000178,C003498,ST0143,2025-09-09,Cash,87.49
T0000179,C000142,ST0341,2026-07-07,Debit Card,200.21
T0000180,C003063,ST0333,2025-08-30,Debit Card,188.5
T0000181,C004863,ST0244,2025-02-23,Debit Card,111.53
T0000182,C005845,ST0321,2026-02-26,Mobile Payment,168.18
T0000183,C003275,ST0019,2024-12-25,Cash,227.49
T0000184,C002426,ST0222,2025-05-02,Mobile Payment,196.39
T0000185,C002712,ST0336,2026-05-06,Credit Card,88.36
T0000186,C003078,ST0181,2025-03-05,Cash,28.94
T0000187,C000559,ST0145,2025-01-18,Mobile Payment,172.8
T0000188,C004631,ST0127,2025-04-20,Cash,100.59
T0000189,C003677,ST0149,2026-02-12,Mobile Payment,120.21
T0000190,C003544,ST0224,2024-12-09,Mobile Payment,154.27
T0000191,C002337,ST0091,2025-07-21,Credit Card,154.49
T0000192,C000318,ST0117,2025-05-10,Credit Card,35.79
T0000193,C001234,ST0190,2025-03-14,Debit Card,114.29
T0000194,C008011,ST0314,2024-08-23,Debit Card,71.95
T0000195,C000030,ST0328,2025-09-13,Cash,29.06
T0000196,C008406,ST0063,2026-05-09,Mobile Payment,162.29
T0000197,C009879,ST0313,2025-01-23,Mobile Payment,141.88
T0000198,C008901,ST0315,2025-05-07,Credit Card,160.54
T0000199,C006565,ST0320,2025-12-28,Credit Card,101.53
T0000200,C009297,ST0237,2024-11-05,Cash,35.17
T0000201,C002316,ST0050,2026-03-22,Cash,74.83
T0000202,C008167,ST0241,2024-08-20,Credit Card,29.83
T0000203,C005353,ST0046,2024-11-21,Credit Card,179.07
T0000204,C008505,ST0277,2025-10-04,Cash,169.6
T0000205,C000437,ST0275,2025-04-22,Credit Card,8.13
T0000206,C001082,ST0242,2026-03-04,Credit Card,116.41
T0000207,C005152,ST0178,2025-11-21,Cash,126.88
T0000208,C001534,ST0228,2024-09-23,Cash,65.81
T0000209,C005151,ST0138,2025-12-20,Cash,191.74
T0000210,C006390,ST0145,2026-06-23,Cash,97.27
T0000211,C007504,ST0295,2025-11-08,Debit Card,194.58
T0000212,C005356,ST0291,2025-07-17,Cash,187.99
T0000213,C001368,ST0247,2025-10-13,Mobile Payment,247.35
T0000214,C000096,ST0167,2025-12-20,Credit Card,81.08
T0000215,C003805,ST0223,2024-09-16,Mobile Payment,148.03
T0000216,C001271,ST0167,2024-08-15,Mobile Payment,157.99
T0000217,C007914,ST0279,2024-12-01,Credit Card,219.08
T0000218,C002672,ST0067,2026-04-23,Credit Card,59.87
T0000219,C008755,ST0011,2025-08-03,Debit Card,53.74
T0000220,C007668,ST0223,2025-08-19,Mobile Payment,125.98
T0000221,C006301,ST0324,2025-02-14,Mobile Payment,207.13
T0000222,C009517,ST0348,2025-05-29,Credit Card,163.51
T0000223,C006414,ST0055,2026-07-06,Mobile Payment,146.25
T0000224,C003085,ST0332,2025-09-23,Credit Card,208.38
T0000225,C006487,ST0158,2025-11-11,Credit Card,15.16
T0000226,C000823,ST0127,2024-07-13,Credit Card,9.64
T0000227,C009076,ST0181,2024-10-04,Mobile Payment,193.86
T0000228,C005261,ST0336,2025-10-18,Cash,244.75
T0000229,C003690,ST0287,2025-02-13,Cash,147.45
T0000230,C000077,ST0189,2026-06-08,Cash,225.79
T0000231,C001754,ST0132,2024-07-28,Cash,150.43
T0000232,C000134,ST0283,2026-02-17,Credit Card,150.91
T0000233,C000404,ST0155,2026-04-02,Cash,13.22
T0000234,C009507,ST0017,2025-06-03,Credit Card,227.11
T0000235,C001211,ST0174,2026-03-02,Cash,67.21
T0000236,C009750,ST0247,2025-05-10,Mobile Payment,98.28
T0000237,C005131,ST0303,2025-04-04,Debit Card,18.45
T0000238,C008239,ST0193,2026-01-27,Credit Card,228.0
T0000239,C005892,ST0091,2025-12-02,Credit Card,195.2
T0000240,C006917,ST0343,2024-10-22,Credit Card,159.52
T0000241,C000696,ST0268,2024-07-15,Cash,235.18
T0000242,C009610,ST0196,2025-12-23,Credit Card,133.23
T0000243,C006871,ST0240,2024-08-20,Cash,188.21
T0000244,C009551,ST0024,2025-09-25,Debit Card,247.01
T0000245,C004235,ST0136,2025-02-16,Debit Card,81.73
T0000246,C009306,ST0042,2026-02-05,Cash,42.41
T0000247,C006117,ST0049,2025-10-09,Credit Card,244.54
T0000248,C005064,ST0347,2026-04-28,Mobile Payment,225.03
T0000249,C002770,ST0155,2025-05-12,Mobile Payment,101.84
T0000250,C005896,ST0275,2025-11-25,Mobile Payment,170.72
T0000251,C001750,ST0120,2026-04-13,Mobile Payment,50.21
T0000252,C007974,ST0292,2025-03-12,Mobile Payment,127.36
T0000253,C006417,ST0003,2026-05-21,Debit Card,57.79
T0000254,C008777,ST0291,2025-10-25,Credit Card,164.64
T0000255,C006150,ST0264,2026-01-14,Debit Card,35.34
T0000256,C004181,ST0080,2026-01-26,Mobile Payment,172.28
T0000257,C000508,ST0151,2025-07-24,Credit Card,192.47
T0000258,C003774,ST0334,2025-08-16,Cash,188.11
T0000259,C000917,ST0328,2025-09-20,Debit Card,72.45
T0000260,C006184,ST0321,2024-12-15,Cash,99.25
T0000261,C009750,ST0215,2025-04-24,Mobile Payment,174.95
T0000262,C009473,ST0344,2025-02-21,Mobile Payment,171.42
T0000263,C003553,ST0243,2026-04-22,Credit Card,191.17
T0000264,C009172,ST0013,2025-07-29,Mobile Payment,158.21
T0000265,C000095,ST0315,2026-07-04,Debit Card,237.11
T0000266,C003027,ST0344,2025-02-13,Mobile Payment,77.83
T0000267,C004628,ST0204,2025-12-02,Cash,207.03
T0000268,C005934,ST0262,2025-02-25,Cash,155.12
T0000269,C005696,ST0303,2025-04-13,Debit Card,236.99
T0000270,C005313,ST0338,2025-07-07,Mobile Payment,24.71
T0000271,C004192,ST0007,2025-12-17,Mobile Payment,93.67
T0000272,C000637,ST0266,2026-04-05,Credit Card,65.5
T0000273,C002804,ST0006,2025-10-25,Debit Card,246.88
T0000274,C007627,ST0300,2025-03-19,Cash,40.16
T0000275,C005265,ST0047,2024-09-25,Mobile Payment,36.67
T0000276,C002170,ST0299,2026-01-12,Cash,71.24
T0000277,C008872,ST0251,2025-08-02,Debit Card,222.78
T0000278,C003075,ST0113,2025-10-15,Mobile Payment,186.0
T0000279,C005802,ST0124,2025-07-01,Mobile Payment,205.3
T0000280,C007980,ST0114,2025-06-19,Cash,236.67
T0000281,C007908,ST0242,2024-11-09,Debit Card,243.34
T0000282,C008033,ST0001,2026-05-13,Cash,240.78
T0000283,C004516,ST0312,2024-11-27,Debit Card,98.27
T0000284,C008842,ST0158,2025-10-02,Mobile Payment,89.98
T0000285,C003437,ST0198,2025-05-16,Debit Card,109.94
T0000286,C009672,ST0015,2024-09-14,Mobile Payment,119.77
T0000287,C002021,ST0289,2025-08-20,Cash,15.16
T0000288,C004196,ST0002,2025-08-06,Cash,49.45
T0000289,C003228,ST0120,2025-11-15,Mobile Payment,46.41
T0000290,C007460,ST0301,2024-12-29,Debit Card,160.62
T0000291,C008691,ST0095,2024-07-18,Cash,35.24
T0000292,C003215,ST0098,2025-02-07,Cash,67.64
T0000293,C008969,ST0044,2026-05-01,Mobile Payment,134.36
T0000294,C001559,ST0119,2026-01-05,Credit Card,249.63
T0000295,C009408,ST0321,2025-10-31,Mobile Payment,215.17
T0000296,C000521,ST0319,2025-05-23,Credit Card,237.75
T0000297,C003927,ST0170,2025-08-18,Credit Card,71.67
T0000298,C002227,ST0179,2025-11-28,Debit Card,211.46
T0000299,C008154,ST0227,2026-03-09,Cash,130.78
T0000300,C003069,ST0083,2024-08-30,Credit Card,71.36
T0000301,C005692,ST0226,2024-09-12,Debit Card,145.15
T0000302,C007802,ST0325,2025-06-14,Credit Card,68.05
T0000303,C007913,ST0044,2024-07-16,Mobile Payment,95.76
T0000304,C001814,ST0349,2026-01-27,Mobile Payment,117.79
T0000305,C006006,ST0178,2025-08-06,Mobile Payment,34.27
T0000306,C005838,ST0113,2025-06-15,Debit Card,34.87
T0000307,C002370,ST0125,2026-02-11,Cash,248.6
T0000308,C006088,ST0048,2025-10-23,Mobile Payment,34.02
T0000309,C002651,ST0025,2026-07-06,Mobile Payment,241.85
T0000310,C009885,ST0059,2025-08-01,Mobile Payment,178.19
T0000311,C008711,ST0254,2024-12-13,Cash,113.84
T0000312,C006584,ST0341,2025-04-23,Cash,144.05
T0000313,C004987,ST0045,2025-01-08,Cash,91.75
T0000314,C001571,ST0002,2024-08-14,Credit Card,29.87
T0000315,C003858,ST0295,2024-11-25,Cash,218.85
T0000316,C003145,ST0209,2026-04-11,Cash,153.47
T0000317,C003354,ST0300,2025-01-12,Mobile Payment,36.84
T0000318,C006232,ST0333,2025-02-09,Credit Card,85.6
T0000319,C004804,ST0215,2025-02-20,Cash,115.41
T0000320,C008344,ST0294,2024-07-14,Debit Card,110.73
T0000321,C008396,ST0117,2025-05-03,Debit Card,81.18
T0000322,C003584,ST0223,2025-04-29,Debit Card,166.59
T0000323,C000670,ST0225,2024-10-19,Credit Card,5.21
T0000324,C000291,ST0291,2025-09-07,Cash,140.29
T0000325,C004723,ST0239,2024-11-22,Cash,249.31
T0000326,C000894,ST0057,2025-06-17,Credit Card,111.55
T0000327,C000052,ST0096,2026-03-13,Cash,166.57
T0000328,C003095,ST0306,2025-06-15,Cash,207.48
T0000329,C006301,ST0154,2024-12-09,Debit Card,60.66
T0000330,C006352,ST0302,2026-02-06,Mobile Payment,195.9
T0000331,C003369,ST0056,2024-08-08,Debit Card,118.57
T0000332,C007380,ST0153,2025-10-18,Credit Card,38.21
T0000333,C001351,ST0243,2025-05-19,Credit Card,230.26
T0000334,C000320,ST0244,2025-10-03,Mobile Payment,82.24
T0000335,C009089,ST0036,2025-10-03,Cash,105.44
T0000336,C005675,ST0279,2024-10-25,Debit Card,184.4
T0000337,C007809,ST0177,2026-03-04,Mobile Payment,84.99
T0000338,C008489,ST0042,2025-11-14,Cash,122.62
T0000339,C000737,ST0165,2024-12-09,Credit Card,174.0
T0000340,C004900,ST0335,2024-10-07,Credit Card,119.34
T0000341,C001202,ST0033,2024-09-25,Credit Card,131.15
T0000342,C009644,ST0345,2025-06-29,Credit Card,196.65
T0000343,C001862,ST0188,2024-12-14,Debit Card,89.79
T0000344,C003287,ST0352,2026-03-10,Cash,87.4
T0000345,C006000,ST0340,2024-10-16,Mobile Payment,167.68
T0000346,C003081,ST0064,2024-09-27,Cash,57.72
T0000347,C002237,ST0032,2026-02-04,Cash,26.14
T0000348,C008641,ST0151,2025-10-15,Mobile Payment,171.13
T0000349,C007118,ST0037,2025-10-15,Cash,143.97
T0000350,C005641,ST0331,2025-05-30,Mobile Payment,164.05
T0000351,C009924,ST0281,2024-08-21,Credit Card,69.9
T0000352,C007002,ST0041,2026-06-25,Cash,193.37
T0000353,C006823,ST0213,2026-07-03,Cash,107.81
T0000354,C008959,ST0309,2025-11-04,Debit Card,43.21
T0000355,C003240,ST0322,2025-04-09,Cash,100.79
T0000356,C006011,ST0137,2025-10-02,Credit Card,247.01
T0000357,C007188,ST0216,2025-11-01,Credit Card,88.58
T0000358,C008680,ST0239,2025-06-28,Cash,28.26
T0000359,C002149,ST0246,2025-04-11,Cash,155.22
T0000360,C003077,ST0170,2025-02-19,Mobile Payment,22.1
T0000361,C007044,ST0230,2024-08-28,Credit Card,226.06
T0000362,C002971,ST0244,2026-06-16,Credit Card,120.6
T0000363,C005892,ST0230,2025-10-05,Mobile Payment,153.68
T0000364,C000955,ST0054,2026-06-04,Mobile Payment,50.02
T0000365,C008798,ST0207,2025-12-12,Mobile Payment,163.71
T0000366,C003754,ST0209,2026-06-11,Cash,170.4
T0000367,C001483,ST0117,2025-01-29,Mobile Payment,206.39
T0000368,C005029,ST0130,2024-08-18,Cash,203.08
T0000369,C001101,ST0158,2024-10-22,Credit Card,236.23
T0000370,C007817,ST0005,2025-12-07,Credit Card,123.05
T0000371,C001326,ST0215,2026-03-14,Cash,136.43
T0000372,C002849,ST0293,2024-08-16,Mobile Payment,6.32
T0000373,C002225,ST0262,2025-01-12,Debit Card,204.1
T0000374,C001339,ST0041,2025-03-06,Debit Card,44.53
T0000375,C000608,ST0066,2024-07-22,Cash,166.51
T0000376,C000742,ST0102,2024-11-15,Credit Card,148.77
T0000377,C006147,ST0083,2026-04-01,Credit Card,195.43
T0000378,C001637,ST0334,2025-12-31,Credit Card,77.19
T0000379,C004882,ST0130,2025-11-11,Mobile Payment,239.53
T0000380,C006307,ST0198,2026-07-04,Mobile Payment,138.35
T0000381,C008869,ST0124,2025-12-13,Mobile Payment,167.01
T0000382,C006294,ST0242,2025-02-11,Debit Card,218.66
T0000383,C006608,ST0065,2025-03-07,Mobile Payment,247.21
T0000384,C001304,ST0249,2024-09-13,Cash,108.0
T0000385,C004211,ST0074,2026-06-12,Debit Card,212.6
T0000386,C000018,ST0014,2024-08-11,Debit Card,80.9
T0000387,C000413,ST0170,2025-04-22,Debit Card,25.58
T0000388,C004462,ST0301,2026-04-29,Mobile Payment,84.34
T0000389,C002428,ST0309,2026-06-06,Debit Card,240.53
T0000390,C000330,ST0164,2025-04-02,Mobile Payment,179.67
T0000391,C008557,ST0120,2024-10-26,Credit Card,97.98
T0000392,C005886,ST0209,2025-11-09,Debit Card,117.25
T0000393,C006979,ST0351,2025-09-27,Mobile Payment,25.64
T0000394,C008045,ST0092,2026-06-22,Mobile Payment,225.25
T0000395,C008122,ST0241,2024-07-23,Credit Card,140.59
T0000396,C002361,ST0098,2025-02-13,Debit Card,190.99
T0000397,C003086,ST0322,2026-02-20,Credit Card,50.07
T0000398,C009281,ST0075,2026-02-26,Debit Card,88.49
T0000399,C001124,ST0010,2026-04-07,Credit Card,62.58
T0000400,C006334,ST0216,2025-06-14,Mobile Payment,136.34
T0000401,C009681,ST0036,2024-08-04,Cash,207.32
T0000402,C002221,ST0094,2025-12-21,Credit Card,21.95
T0000403,C009225,ST0123,2025-06-15,Credit Card,59.39
T0000404,C001311,ST0106,2025-11-26,Cash,240.74
T0000405,C007079,ST0245,2026-03-27,Debit Card,238.1
T0000406,C008863,ST0272,2025-06-19,Mobile Payment,88.07
T0000407,C009371,ST0137,2025-03-27,Debit Card,159.43
T0000408,C002291,ST0015,2025-02-11,Debit Card,246.45
T0000409,C006276,ST0095,2025-12-19,Mobile Payment,174.2
T0000410,C001295,ST0299,2026-04-24,Cash,214.62
T0000411,C003347,ST0119,2024-11-17,Debit Card,123.83
T0000412,C007880,ST0331,2026-04-27,Debit Card,96.27
T0000413,C009072,ST0120,2026-05-29,Cash,145.24
T0000414,C007088,ST0296,2025-09-16,Debit Card,57.83
T0000415,C000169,ST0076,2026-05-29,Cash,142.31
T0000416,C004186,ST0025,2026-05-08,Cash,109.46
T0000417,C001547,ST0326,2024-07-15,Credit Card,69.94
T0000418,C006448,ST0159,2025-05-07,Credit Card,65.22
T0000419,C007021,ST0146,2026-01-16,Credit Card,83.28
T0000420,C009615,ST0223,2024-09-15,Debit Card,52.98
T0000421,C005505,ST0122,2024-08-24,Credit Card,220.37
T0000422,C001938,ST0216,2024-12-07,Credit Card,130.02
T0000423,C008880,ST0242,2026-01-08,Cash,141.45
T0000424,C000589,ST0264,2024-10-14,Cash,119.8
T0000425,C007193,ST0310,2026-02-02,Cash,39.59
T0000426,C000831,ST0152,2025-12-27,Mobile Payment,196.52
T0000427,C004291,ST0278,2025-08-14,Cash,139.67
T0000428,C007716,ST0200,2025-05-09,Mobile Payment,52.63
T0000429,C002291,ST0114,2025-10-21,Debit Card,63.96
T0000430,C009225,ST0103,2026-05-25,Mobile Payment,49.3
T0000431,C005142,ST0015,2024-11-29,Cash,68.47
T0000432,C009807,ST0131,2025-08-28,Cash,216.76
T0000433,C003132,ST0137,2026-02-03,Cash,189.56
T0000434,C004928,ST0338,2026-05-22,Cash,61.29
T0000435,C008869,ST0020,2026-02-22,Credit Card,178.73
T0000436,C005634,ST0202,2025-07-21,Debit Card,87.71
T0000437,C001558,ST0214,2025-10-07,Mobile Payment,70.33
T0000438,C007466,ST0061,2026-05-26,Mobile Payment,232.83
T0000439,C003346,ST0226,2025-05-02,Debit Card,87.1
T0000440,C005607,ST0025,2025-08-08,Cash,158.67
T0000441,C007342,ST0111,2026-02-12,Mobile Payment,223.1
T0000442,C002094,ST0103,2024-09-12,Mobile Payment,228.19
T0000443,C000115,ST0336,2024-12-10,Debit Card,11.58
T0000444,C002946,ST0066,2025-02-15,Cash,192.97
T0000445,C002973,ST0306,2025-11-05,Debit Card,121.57
T0000446,C001250,ST0183,2026-03-02,Debit Card,85.96
T0000447,C005848,ST0064,2025-12-02,Mobile Payment,214.21
T0000448,C004029,ST0131,2026-03-27,Cash,202.39
